date,close,volume
2024-01-02,183.90321350097656,82488700
2024-01-03,182.5262451171875,58414500
2024-01-04,180.20811462402344,71983600
2024-01-05,179.4849395751953,62379700
2024-01-08,183.823974609375,59144500
2024-01-09,183.4079132080078,42841800
2024-01-10,184.4480743408203,46792900
2024-01-11,183.85369873046875,49128400
2024-01-12,184.1806182861328,40477800
2024-01-16,181.9120330810547,65603000
2024-01-17,180.97091674804688,47317400
2024-01-18,186.86526489257812,78005800
2024-01-19,189.76783752441406,68903000
2024-01-22,192.07603454589844,60133900
2024-01-23,193.35397338867188,42355600
2024-01-24,192.68032836914062,53631300
2024-01-25,192.35340881347656,54822100
2024-01-26,190.6197967529297,44594000
2024-01-29,189.93624877929688,47145600
2024-01-30,186.28076171875,55859400
2024-01-31,182.67483520507812,55467800
2024-02-01,185.11184692382812,64885400
2024-02-02,184.11126708984375,102551700
2024-02-05,185.9241180419922,69668800
2024-02-06,187.5290069580078,43490800
2024-02-07,187.63796997070312,53439000
2024-02-08,186.55816650390625,40962000
2024-02-09,187.3219451904297,45155200
2024-02-12,185.63568115234375,41781900
2024-02-13,183.54273986816406,56529500
2024-02-14,182.65994262695312,54630500
2024-02-15,182.372314453125,65434500
2024-02-16,180.83482360839844,49752500
2024-02-20,180.09091186523438,53665600
2024-02-21,180.84475708007812,41371400
2024-02-22,182.87815856933594,52292200
2024-02-23,181.0431671142578,45119700
2024-02-26,179.6941375732422,40867400
2024-02-27,181.15223693847656,54318900
2024-02-28,179.95205688476562,48953900
2024-02-29,179.2874755859375,136682600
2024-03-01,178.20628356933594,73563100
2024-03-04,173.6831817626953,81510100
2024-03-05,168.7434539794922,95132400
2024-03-06,167.7515869140625,68587700
2024-03-07,167.63253784179688,71765100
2024-03-08,169.3485565185547,76267000
2024-03-11,171.35218811035156,60139500
2024-03-12,171.82830810546875,59825400
2024-03-13,169.74530029296875,52488700
2024-03-14,171.6001739501953,72913500
2024-03-15,171.2232666015625,121752700
2024-03-18,172.31436157226562,75604200
2024-03-19,174.65524291992188,55215200
2024-03-20,177.22430419921875,53423100
2024-03-21,169.9833526611328,106181300
2024-03-22,170.885986328125,71160100
2024-03-25,169.46755981445312,54288300
2024-03-26,168.33680725097656,57388400
2024-03-27,171.9076690673828,60273300
2024-03-28,170.0924530029297,65672700
2024-04-01,168.65420532226562,46240500
2024-04-02,167.4738311767578,49329500
2024-04-03,168.27728271484375,47691700
2024-04-04,167.45401000976562,53704400
2024-04-05,168.2078399658203,42104800
2024-04-08,167.08700561523438,37425500
2024-04-09,168.297119140625,42373800
2024-04-10,166.4224090576172,49709300
2024-04-11,173.62364196777344,91070300
2024-04-12,175.1214599609375,101670900
2024-04-15,171.29269409179688,73531800
2024-04-16,168.00946044921875,73711200
2024-04-17,166.64064025878906,50901200
2024-04-18,165.68838500976562,43122900
2024-04-19,163.66490173339844,68149400
2024-04-22,164.4980926513672,48116400
2024-04-23,165.54953002929688,49537800
2024-04-24,167.65235900878906,48251800
2024-04-25,168.51535034179688,50558300
2024-04-26,167.93011474609375,44838400
2024-04-29,172.0961151123047,68169400
2024-04-30,168.9517822265625,65934800
2024-05-01,167.93011474609375,50383100
2024-05-02,171.6299591064453,94214900
2024-05-03,181.89617919921875,163224100
2024-05-06,180.23968505859375,78569700
2024-05-07,180.92410278320312,77305800
2024-05-08,181.2613525390625,45057100
2024-05-09,183.07655334472656,48983000
2024-05-10,181.81512451171875,50759500
2024-05-13,185.02333068847656,72044800
2024-05-14,186.16558837890625,52393600
2024-05-15,188.44012451171875,70400000
2024-05-16,188.55931091308594,52845200
2024-05-17,188.589111328125,41282900
2024-05-20,189.751220703125,44361300
2024-05-21,191.05239868164062,42309400
2024-05-22,189.61216735839844,34648500
2024-05-23,185.61927795410156,51005900
2024-05-24,188.6983642578125,36327000
2024-05-28,188.70831298828125,52280100
2024-05-29,189.0062713623047,53068000
2024-05-30,189.99952697753906,49889100
2024-05-31,190.9530487060547,75158300
2024-06-03,192.72103881835938,50080500
2024-06-04,193.0388946533203,47471400
2024-06-05,194.54864501953125,54156800
2024-06-06,193.1680145263672,41181800
2024-06-07,195.56175231933594,53103900
2024-06-10,191.8171844482422,97010200
2024-06-11,205.75253295898438,172373300
2024-06-12,211.63259887695312,198134300
2024-06-13,212.7947235107422,97862700
2024-06-14,211.0565185546875,70122700
2024-06-17,215.2082977294922,93728300
2024-06-18,212.8443603515625,79943300
2024-06-20,208.26547241210938,86172500
2024-06-21,206.0902557373047,241805100
2024-06-24,206.73587036132812,80727000
2024-06-25,207.6595916748047,55549700
2024-06-26,211.81138610839844,66213200
2024-06-27,212.65567016601562,49772700
2024-06-28,209.19911193847656,82542700
2024-07-01,215.28778076171875,60402900
2024-07-02,218.78402709960938,58046200
2024-07-03,220.05538940429688,37369800
2024-07-05,224.81307983398438,60412400
2024-07-08,226.28311157226562,59085900
2024-07-09,227.13729858398438,48076100
2024-07-10,231.40826416015625,62627700
2024-07-11,226.0347900390625,64710600
2024-07-12,228.9847412109375,53046500
2024-07-15,232.8187255859375,62631300
2024-07-16,233.2358856201172,43234300
2024-07-17,227.33595275878906,57345900
2024-07-18,222.66766357421875,66034600
2024-07-19,222.79678344726562,49151500
2024-07-22,222.44915771484375,48201800
2024-07-23,223.49203491210938,39960300
2024-07-24,217.06568908691406,61777600
2024-07-25,216.02281188964844,51391200
2024-07-26,216.4896240234375,41601300
2024-07-29,216.7677459716797,36311800
2024-07-30,217.323974609375,41643800
2024-07-31,220.58181762695312,50036300
2024-08-01,216.8869171142578,62501000
2024-08-02,218.37681579589844,105568600
2024-08-05,207.85824584960938,119548600
2024-08-06,205.83200073242188,69660500
2024-08-07,208.40452575683594,63516400
2024-08-08,211.87098693847656,47161100
2024-08-09,214.78121948242188,42201600
2024-08-12,216.3126220703125,38028100
2024-08-13,220.03167724609375,44155300
2024-08-14,220.4791717529297,41960600
2024-08-15,223.46234130859375,46414000
2024-08-16,224.78492736816406,44340200
