date,close
1985-01-02,0.5387994050979614
1985-01-03,0.5252166986465454
1985-01-04,0.5206888914108276
1985-01-07,0.5221982598304749
1985-01-08,0.5282350778579712
1985-01-09,0.5342719554901123
1985-01-10,0.5554015040397644
1985-01-11,0.5569105744361877
1985-01-14,0.5795491933822632
1985-01-15,0.5735121965408325
1985-01-16,0.5795491933822632
1985-01-17,0.5735121965408325
1985-01-18,0.5765308737754822
1985-01-21,0.597660481929779
1985-01-22,0.597660481929779
1985-01-23,0.6157713532447815
1985-01-24,0.6066263318061829
1985-01-25,0.603577733039856
1985-01-28,0.5944327712059021
1985-01-29,0.5913843512535095
1985-01-30,0.5959565043449402
1985-01-31,0.5944327712059021
1985-02-01,0.5791905522346497
1985-02-04,0.5852875709533691
1985-02-05,0.570045530796051
1985-02-06,0.5563279390335083
1985-02-07,0.5578520894050598
1985-02-08,0.5563279390335083
1985-02-11,0.5502310991287231
1985-02-12,0.5593763589859009
1985-02-13,0.5654732584953308
1985-02-14,0.5593763589859009
1985-02-15,0.5563279390335083
1985-02-19,0.5532796382904053
1985-02-20,0.5471829175949097
1985-02-21,0.5334652066230774
1985-02-22,0.5395618081092834
1985-02-25,0.5334652066230774
1985-02-26,0.5395618081092834
1985-02-27,0.5410860776901245
1985-02-28,0.5441340804100037
1985-03-01,0.5548039078712463
1985-03-04,0.5502310991287231
1985-03-05,0.5517553687095642
1985-03-06,0.5441340804100037
1985-03-07,0.5380377769470215
1985-03-08,0.5395618081092834
1985-03-11,0.5365135669708252
1985-03-12,0.5410860776901245
1985-03-13,0.5319410562515259
1985-03-14,0.5304166674613953
1985-03-15,0.5258442163467407
1985-03-18,0.5212716460227966
1985-03-19,0.5319410562515259
1985-03-20,0.5197477340698242
1985-03-21,0.5227958559989929
1985-03-22,0.5197477340698242
1985-03-25,0.5227958559989929
1985-03-26,0.518223226070404
1985-03-27,0.5212716460227966
1985-03-28,0.5288928151130676
1985-03-29,0.5166993141174316
1985-04-01,0.5227958559989929
1985-04-02,0.5212716460227966
1985-04-03,0.518223226070404
1985-04-04,0.518223226070404
1985-04-08,0.5121269226074219
1985-04-09,0.5197477340698242
1985-04-10,0.5273684859275818
1985-04-11,0.5334652066230774
1985-04-12,0.5365135669708252
1985-04-15,0.5426104664802551
1985-04-16,0.5365135669708252
1985-04-17,0.5426104664802551
1985-04-18,0.5288928151130676
1985-04-19,0.5288928151130676
1985-04-22,0.5258442163467407
1985-04-23,0.5288928151130676
1985-04-24,0.5273684859275818
1985-04-25,0.5334652066230774
1985-04-26,0.5223385095596313
